,Input,Final_Output
740,"Bragança, H.; Colonna, J.G.; Oliveira, H.A.B.F.; Souto, E. How Validation Methodology Influences Human Activity Recognition Mobile Systems. Sensors 2022, 22, 2360.","{""author"": ""H. Bragan\u00e7a; J.G. Colonna; H.A.B.F. Oliveira; E. Souto"", ""journalName"": ""Sensors"", ""year"": 2022}"
741,"Fang, W.; Zhang, W.; Ma, L.; Wu, Y.; Yan, K.; Lu, H.; Sun, J.; Wu, X.; Yuan, B. An efficient Bayesian network structure learning algorithm based on structural information. Swarm Evol. Comput. 2023, 76, 101224.","{""author"": ""W. Fang; W. Zhang; L. Ma; Y. Wu; K. Yan; H. Lu; J. Sun; X. Wu; B. Yuan"", ""journalName"": ""Swarm Evol. Comput."", ""year"": 2023}"
742,"Tian, T.; Kong, F.; Yang, R.; Long, X.; Chen, L.; Li, M.; Li, Q.; Hao, Y.; He, Y.; Zhang, Y.; et al. A Bayesian network model for prediction of low or failed fertilization in assisted reproductive technology based on a large clinical real-world data. Reprod. Biol. Endocrinol. 2023, 21, 8.","{""author"": ""T. Tian; F. Kong; R. Yang; X. Long; L. Chen; M. Li; Q. Li; Y. Hao; Y. He; Y. Zhang"", ""journalName"": ""Reprod. Biol. Endocrinol."", ""year"": 2023}"
743,"Bertone, E.; Rousso, B.Z.; Kufeji, D. A probabilistic decision support tool for prediction and management of rainfall-related poor water quality events for a drinking water treatment plant. J. Environ. Manag. 2023, 332, 117209.","{""author"": ""E. Bertone; B.Z. Rousso; D. Kufeji"", ""journalName"": ""J. Environ. Manag."", ""year"": 2023}"
744,"Jackson-Blake, L.A.; Clayer, F.; Haande, S.; Sample, J.E.; Moe, S.J. Seasonal forecasting of lake water quality and algal bloom risk using a continuous Gaussian Bayesian network. Hydrol. Earth Syst. Sci. 2022, 26, 3103–3124.","{""author"": ""L.A. Jackson-Blake; F. Clayer; S. Haande; J.E. Sample; S.J. Moe"", ""journalName"": ""Hydrol. Earth Syst. Sci."", ""year"": 2022}"
745,"Hao, J.; Yue, K.; Zhang, B.; Duan, L.; Fu, X. Transfer learning of Bayesian network for measuring QoS of virtual machines. Appl. Intell. 2021, 51, 8641–8660.","{""author"": ""J. Hao; K. Yue; B. Zhang; L. Duan; X. Fu"", ""journalName"": ""Appl. Intell."", ""year"": 2021}"
746,"Luo, G.; Zhao, B.; Du, S. Causal inference and Bayesian network structure learning from nominal data. Appl. Intell. 2019, 49, 253–264.","{""author"": ""G. Luo; B. Zhao; S. Du"", ""journalName"": ""Appl. Intell."", ""year"": 2019}"
747,"Shiomoto, K.; Otoshi, T.; Murata, M. A novel network traffic prediction method based on a Bayesian network model for establishing the relationship between traffic and population. Ann. Telecommun. 2023, 78, 53–70.","{""author"": ""K. Shiomoto; T. Otoshi; M. Murata"", ""journalName"": ""Ann. Telecommun."", ""year"": 2023}"
748,"Xu, Q.; Liu, H.; Song, Z.; Dong, S.; Zhang, L.; Zhang, X. Dynamic risk assessment for underground gas storage facilities based on Bayesian network. J. Loss Prev. Process. Ind. 2023, 82, 104961.","{""author"": ""Q. Xu; H. Liu; Z. Song; S. Dong; L. Zhang; X. Zhang"", ""journalName"": ""J. Loss Prev. Process. Ind."", ""year"": 2023}"
749,"Gross, T.J.; Bessani, M.; Junior, W.D.; Araújo, R.B.; Vale, F.A.C.; Maciel, C.D. An analytical threshold for combining Bayesian Networks. Knowl. Based Syst. 2019, 175, 36–49.","{""author"": ""T.J. Gross; M. Bessani; W.D. Junior; R.B. Ara\u00fajo; F.A.C. Vale; C.D. Maciel"", ""journalName"": ""Knowl. Based Syst."", ""year"": 2019}"
750,"Alridha, A.; Salman, A.M.; Al-Jilawi, A.S. The Applications of NP-hardness optimizations problem. J. Phys. Conf. Ser. 2021, 1818, 012179.","{""author"": ""A. Alridha; A.M. Salman; A.S. Al-Jilawi"", ""journalName"": ""J. Phys. Conf. Ser."", ""year"": 2021}"
751,"Constantinou, A.C.; Liu, Y.; Chobtham, K.; Guo, Z.; Kitson, N.K. Large-scale empirical validation of Bayesian Network structure learning algorithms with noisy data. Int. J. Approx. Reason. 2021, 131, 151–188.","{""author"": ""A.C. Constantinou; Y. Liu; K. Chobtham; Z. Guo; N.K. Kitson"", ""journalName"": ""Int. J. Approx. Reason."", ""year"": 2021}"
752,"Contaldi, C.; Vafaee, F.; Nelson, P.C. Bayesian network hybrid learning using an elite-guided genetic algorithm. Artif. Intell. Rev. 2019, 52, 245–272.","{""author"": ""C. Contaldi; F. Vafaee; P.C. Nelson"", ""journalName"": ""Artif. Intell. Rev."", ""year"": 2019}"
753,"Kitson, N.K.; Constantinou, A.C.; Guo, Z.; Liu, Y.; Chobtham, K. A survey of Bayesian Network structure learning. Artif. Intell. Rev. 2023, 56, 8721–8814.","{""author"": ""N.K. Kitson; A.C. Constantinou; Z. Guo; Y. Liu; K. Chobtham"", ""journalName"": ""Artif. Intell. Rev."", ""year"": 2023}"
754,"Scutari, M.; Vitolo, C.; Tucker, A. Learning Bayesian networks from big data with greedy search: Computational complexity and efficient implementation. Stat. Comput. 2021, 29, 1095–1108","{""author"": ""M. Scutari; C. Vitolo; A. Tucker"", ""journalName"": ""Stat. Comput."", ""year"": 2021}"
755,"Wang,X.; Ren, H.; Guo, X. A novel discrete firefly algorithm for Bayesian network structure learning. Knowl. Based Syst. 2022, 242, 108426.","{""author"": ""X. Wang; H. Ren; X. Guo"", ""journalName"": ""Knowl. Based Syst."", ""year"": 2022}"
756,"Bies, R.R.; Muldoon, M.F.; Pollock, B.G.; Manuck, S.; Smith, G.; Sale, M.E. A Genetic Algorithm-Based, Hybrid Machine Learning Approach to Model Selection. J. Pharmacokinet. Pharmacodyn. 2006, 33, 195–221.","{""author"": ""R.R. Bies; M.F. Muldoon; B.G. Pollock; S. Manuck; G. Smith; M.E. Sale"", ""journalName"": ""J. Pharmacokinet. Pharmacodyn."", ""year"": 2006}"
757,"deCampos,L.M. AScoring Function for Learning Bayesian Networks Based on Mutual Information and Conditional Indepen dence Tests. J. Mach. Learn. Res. 2006, 7 , 2149–2187.","{""author"": ""L.M. de Campos"", ""journalName"": ""J. Mach. Learn. Res."", ""year"": 2006}"
758,"Scutari, M. Learning Bayesian Networks with the bnlearn R Package. J. Stat. Softw. 2010, 35, 1–22.","{""author"": ""M. Scutari"", ""journalName"": ""J. Stat. Softw."", ""year"": 2010}"
759,"Chicco, D.; Jurman, G. The advantages of the Matthews correlation coefficient (MCC) over F1 score and accuracy in binary classification evaluation. BMC Genom. 2020, 21, 6.","{""author"": ""D. Chicco; G. Jurman"", ""journalName"": ""BMC Genom."", ""year"": 2020}"
760,"Tsamardinos, I.; Brown, L.E.; Aliferis, C.F. The max-min hill-climbing Bayesian network structure learning algorithm. Mach. Learn. 2006, 65, 31–78.","{""author"": ""I. Tsamardinos; L.E. Brown; C.F. Aliferis"", ""journalName"": ""Mach. Learn."", ""year"": 2006}"
761,"Rohmer, J. Uncertainties in conditional probability tables of discrete Bayesian Belief Networks: A comprehensive review. Eng. Appl. Artif. Intell. 2020, 88, 103384.","{""author"": ""J. Rohmer"", ""journalName"": ""Eng. Appl. Artif. Intell."", ""year"": 2020}"
762,"Ohyver, M.; Moniaga, J.V.; Sungkawa, I.; Subagyo, B.E.; Chandra, I.A. The Comparison Firebase Realtime Database and MySQL Database Performance using Wilcoxon Signed-Rank Test. Procedia Comput. Sci. 2019, 157, 396–405.","{""author"": ""M. Ohyver; J.V. Moniaga; I. Sungkawa; B.E. Subagyo; I.A. Chandra"", ""journalName"": ""Procedia Comput. Sci."", ""year"": 2019}"
763,"Berghout, T.; Benbouzid, M. A Systematic Guide for Predicting Remaining Useful Life with Machine Learning. Electronics 2022, 11, 1125.","{""author"": ""T. Berghout; M. Benbouzid"", ""journalName"": ""Electronics"", ""year"": 2022}"
764,"Khan, S.; Yairi, T. A Review on the Application of Deep Learning in System Health Management. Mech. Syst. Signal Process. 2018, 107, 241–265.","{""author"": ""S. Khan; T. Yairi"", ""journalName"": ""Mech. Syst. Signal Process."", ""year"": 2018}"
765,"Ma, Y.; Yang, J.; Li, L. Meta Bi-Classifier Gradient Discrepancy for Noisy and Universal Domain Adaptation in Intelligent Fault Diagnosis. Knowl.-Based Syst. 2023, 276, 110735.","{""author"": ""Y. Ma; J. Yang; L. Li"", ""journalName"": ""Knowl.-Based Syst."", ""year"": 2023}"
766,"Daga, A.P.; Fasana, A.; Marchesiello, S.; Garibaldi, L. The Politecnico Di Torino Rolling Bearing Test Rig: Description and Analysis of Open Access Data. Mech. Syst. Signal Process. 2019, 120, 252–273.","{""author"": ""A.P. Daga; A. Fasana; S. Marchesiello; L. Garibaldi"", ""journalName"": ""Mech. Syst. Signal Process."", ""year"": 2019}"
767,"Jia, L.; Chow, T.W.S.; Yuan, Y. GTFE-Net: A Gramian Time Frequency Enhancement CNN for Bearing Fault Diagnosis. Eng. Appl. Artif. Intell. 2023, 119, 105794.","{""author"": ""L. Jia; T.W.S. Chow; Y. Yuan"", ""journalName"": ""Eng. Appl. Artif. Intell."", ""year"": 2023}"
768,"Tan, H.; Xie, S.; Ma, W.; Yang, C.; Zheng, S. Correlation Feature Distribution Matching for Fault Diagnosis of Machines. Reliab. Eng. Syst. Saf. 2023, 231, 108981.","{""author"": ""H. Tan; S. Xie; W. Ma; C. Yang; S. Zheng"", ""journalName"": ""Reliab. Eng. Syst. Saf."", ""year"": 2023}"
769,"Thelaidjia, T.; Chetih, N.; Moussaoui, A.; Chenikher, S. Successive Variational Mode Decomposition and Blind Source Separation Based on Salp Swarm Optimization for Bearing Fault Diagnosis. Int. J. Adv. Manuf. Technol. 2023, 125, 5541–5556.","{""author"": ""T. Thelaidjia; N. Chetih; A. Moussaoui; S. Chenikher"", ""journalName"": ""Int. J. Adv. Manuf. Technol."", ""year"": 2023}"
770,"Hou, L.; Yi, H.; Jin, Y.; Gui, M.; Sui, L.; Zhang, J.; Chen, Y. Inter-Shaft Bearing Fault Diagnosis Based on Aero-Engine System: A Benchmarking Dataset Study. J. Dyn. Monit. Diagn. 2023.","{""author"": ""L. Hou; H. Yi; Y. Jin; M. Gui; L. Sui; J. Zhang; Y. Chen"", ""journalName"": ""J. Dyn. Monit. Diagn."", ""year"": 2023}"
771,"Bhuiyan, M.I.H.; Ahmad, M.O.; Swamy, M.N.S. Spatially Adaptive Wavelet-Based Method Using the Cauchy Prior for Denoising the SAR Images. IEEE Trans. Circuits Syst. Video Technol. 2007, 17, 500–507","{""author"": ""M.I.H. Bhuiyan; M.O. Ahmad; M.N.S. Swamy"", ""journalName"": ""IEEE Trans. Circuits Syst. Video Technol."", ""year"": 2007}"
772,"Smiti, A. A Critical Overview of Outlier Detection Methods. Comput. Sci. Rev. 2020, 38, 100306","{""author"": ""A. Smiti"", ""journalName"": ""Comput. Sci. Rev."", ""year"": 2020}"
773,"Chawla, N.V.; Bowyer, K.W.; Hall, L.O.; Kegelmeyer, W.P. SMOTE: Synthetic Minority Over-Sampling Technique. Ecol. Appl. 2011, 30, e02043.","{""author"": ""N.V. Chawla; K.W. Bowyer; L.O. Hall; W.P. Kegelmeyer"", ""journalName"": ""Ecol. Appl."", ""year"": 2011}"
774,"Tibshirani, R.; Walther, G.; Hastie, T. Estimating the Number of Clusters in a Data Set Via the Gap Statistic. J. R. Stat. Soc. Ser. B Stat. Methodol. 2001, 63, 411–423.","{""author"": ""R. Tibshirani; G. Walther; T. Hastie"", ""journalName"": ""J. R. Stat. Soc. Ser. B Stat. Methodol."", ""year"": 2001}"
775,"vanderMaaten, L.; Hinton, G.E. Visualizing Data Using T-SNE. J. Mach. Learn. Res. 2008, 9, 2579–2605","{""author"": ""L. vanderMaaten; G.E. Hinton"", ""journalName"": ""J. Mach. Learn. Res."", ""year"": 2008}"
776,"Yu,Y.; Si, X.; Hu, C.; Zhang, J. A Review of Recurrent Neural Networks: LSTM Cells and Network Architectures. Neural Comput. 2019, 31, 1235–1270.","{""author"": ""Y. Yu; X. Si; C. Hu; J. Zhang"", ""journalName"": ""Neural Comput."", ""year"": 2019}"
777,"Tharwat, A. Classification Assessment Methods. Appl. Comput. Inform. 2021, 17, 168–192.","{""author"": ""A. Tharwat"", ""journalName"": ""Appl. Comput. Inform."", ""year"": 2021}"
778,"Berghout, T.; Benbouzid, M. Diagnosis and Prognosis of Faults in High-Speed Aeronautical Bearings with a Collaborative Selection Incremental Deep Transfer Learning Approach. Appl. Sci. 2023, 13, 10916.","{""author"": ""T. Berghout; M. Benbouzid"", ""journalName"": ""Appl. Sci."", ""year"": 2023}"
779,"Andrews, L.B.; Barta, L. Simulation as a Tool to Illustrate Clinical Pharmacology Concepts to Healthcare Program Learners. Curr. Pharmacol. Rep. 2020, 6, 182–191.","{""author"": ""L.B. Andrews; L. Barta"", ""journalName"": ""Curr. Pharmacol. Rep."", ""year"": 2020}"
780,"Yada, S.; Hamada, C. Application of Bayesian hierarchical models for phase I/II clinical trials in oncology. Pharm. Stat. 2017, 16, 114–121.","{""author"": ""S. Yada; C. Hamada"", ""journalName"": ""Pharm. Stat."", ""year"": 2017}"
781,"Haber, L.T.; Reichard, J.F.; Henning, A.K.; Dawson, P.; Chinthrajah, R.S.; Sindher, S.B.; Long, A.; Vincent, M.J.; Nadeau, K.C.; Allen, B.C. Bayesian hierarchical evaluation of dose-response for peanut allergy in clinical trial screening. Food Chem. Toxicol. 2021, 151, 112125.","{""author"": ""L.T. Haber; J.F. Reichard; A.K. Henning; P. Dawson; R.S. Chinthrajah; S.B. Sindher; A. Long; M.J. Vincent; K.C. Nadeau; B.C. Allen"", ""journalName"": ""Food Chem. Toxicol."", ""year"": 2021}"
782,"Curigliano, G.; Gelderblom, H.; Mach, N.; Doi, T.; Tai, D.; Forde, P.M.; Sarantopoulos, J.; Bedard, P.L.; Lin, C.C.; Hodi, F.S.; et al. Phase I/Ib Clinical Trial of Sabatolimab, an Anti-TIM-3 Antibody, Alone and in Combination with Spartalizumab, an Anti-PD-1 Antibody, in Advanced Solid Tumors. Clin. Cancer Res. 2021, 27, 3620–3629.","{""author"": ""G. Curigliano; H. Gelderblom; N. Mach; T. Doi; D. Tai; P.M. Forde; J. Sarantopoulos; P.L. Bedard; C.C. Lin; F.S. Hodi; et al."", ""journalName"": ""Clin. Cancer Res."", ""year"": 2021}"
783,"Gotuzzo, A.G.; Piles, M.; Della-Flora, R.P.; Germano, J.M.; Reis, J.S.; Tyska, D.U.; Dionello, N.J.L. Bayesian hierarchical model for comparison of different nonlinear function and genetic parameter estimates of meat quails. Poult. Sci. 2019, 98, 1601–1609.","{""author"": ""A.G. Gotuzzo; M. Piles; R.P. Della-Flora; J.M. Germano; J.S. Reis; D.U. Tyska; N.J.L. Dionello"", ""journalName"": ""Poult. Sci."", ""year"": 2019}"
784,"Paun, I.; Husmeier, D.; Hopcraft, J.G.C.; Masolele, M.M.; Torney, C.J. Inferring spatially varying animal movement characteristics using a hierarchical continuous-time velocity model. Ecol. Lett. 2022, 25, 2726–2738.","{""author"": ""I. Paun; D. Husmeier; J.G.C. Hopcraft; M.M. Masolele; C.J. Torney"", ""journalName"": ""Ecol. Lett."", ""year"": 2022}"
785,"Ramos, A.N.; Fenton, F.H.; Cherry, E.M. Bayesian inference for fitting cardiac models to experiments: Estimating parameter distributions using Hamiltonian Monte Carlo and approximate Bayesian computation. Med. Biol. Eng. Comput. 2023, 61, 75–95.","{""author"": ""A.N. Ramos; F.H. Fenton; E.M. Cherry"", ""journalName"": ""Med. Biol. Eng. Comput."", ""year"": 2023}"
786,"Yang, W.; Tempelman, R.J. A Bayesian antedependence model for whole genome prediction. Genetics 2012, 190, 1491–1501","{""author"": ""W. Yang; R.J. Tempelman"", ""journalName"": ""Genetics"", ""year"": 2012}"
787,"Selle, M.L.; Steinsland, I.; Lindgren, F.; Brajkovic, V.; Cubric-Curik, V.; Gorjanc, G. Hierarchical Modelling of Haplotype Effects on a Phylogeny. Front. Genet. 2021, 11, 531218.","{""author"": ""M.L. Selle; I. Steinsland; F. Lindgren; V. Brajkovic; V. Cubric-Curik; G. Gorjanc"", ""journalName"": ""Front. Genet."", ""year"": 2021}"
788,"Mukaddim,R.A.; Meshram, N.H.; Mitchell, C.C.; Varghese, T. Hierarchical Motion Estimation With Bayesian Regularization in Cardiac Elastography: Simulation and In Vivo Validation. IEEE Trans. Ultrason. Ferroelectr. Freq. Control 2019, 66, 1708–1722.","{""author"": ""R.A. Mukaddim; N.H. Meshram; C.C. Mitchell; T. Varghese"", ""journalName"": ""IEEE Trans. Ultrason. Ferroelectr. Freq. Control"", ""year"": 2019}"
789,"Watanabe, S. Asymptotic Equivalence of Bayes Cross Validation and Widely Applicable Information Criterion in Singular Learning Theory. J. Mach. Learn. Res. 2010, 11, 3571–3594.","{""author"": ""S. Watanabe"", ""journalName"": ""J. Mach. Learn. Res."", ""year"": 2010}"
790,"Kliethermes, S.; Oleson, J. A Bayesian approach to functional mixed-effects modeling for longitudinal data with binomial outcomes. Stat. Med. 2014, 33, 3130–3146.","{""author"": ""S. Kliethermes; J. Oleson"", ""journalName"": ""Stat. Med."", ""year"": 2014}"
791,"Alarid-Escudero, F.; Enns, E.A.; MacLehose, R.F.; Parsonnet, J.; Torres, J.; Kuntz, K.M. Force of infection of Helicobacter pylori in Mexico: Evidence from a national survey using a hierarchical Bayesian model. Epidemiol. Infect. 2018, 146, 961–969.","{""author"": ""F. Alarid-Escudero; E.A. Enns; R.F. MacLehose; J. Parsonnet; J. Torres; K.M. Kuntz"", ""journalName"": ""Epidemiol. Infect."", ""year"": 2018}"
792,"Zhang, Y.; Chang, H.H.; Iuliano, A.D.; Reed, C. Application of Bayesian spatial-temporal models for estimating unrecognized COVID-19 deaths in the United States. Spat. Stat. 2022, 50, 100584.","{""author"": ""Y. Zhang; H.H. Chang; A.D. Iuliano; C. Reed"", ""journalName"": ""Spat. Stat."", ""year"": 2022}"
793,"Pham, N.K.; Nguyen, H.T.; Nguyen, Q.B. A review on the ethnomedicinal uses, phytochemistry and pharmacology of plant species belonging to Kaempferia L. genus (Zingiberaceae). Pharm. Sci. Asia. 2021, 48, 1–24.","{""author"": ""N.K. Pham; H.T. Nguyen; Q.B. Nguyen"", ""journalName"": ""Pharm. Sci. Asia."", ""year"": 2021}"
794,"Voon, K.J.; Sivasothy, Y.; Sundralingam, U.; Lalmahomed, A.; Goh, A.P. Cytotoxic Labdane Diterpenes, Norlabdane Diterpenes and Bis-Labdanic Diterpenes from the Zingiberaceae: A Systematic Review. J. Pharm. 2022, 15, 1517.","{""author"": ""K.J. Voon; Y. Sivasothy; U. Sundralingam; A. Lalmahomed; A.P. Goh"", ""journalName"": ""J. Pharm."", ""year"": 2022}"
795,"Rachkeeree, A.; Kantadoung, K.; Suksathan, R.; Puangpradab, R.; Page, P.A.; Sommano, S.R. Nutritional Compositions and Phytochemical Properties of the Edible Flowers from Selected Zingiberaceae Found in Thailand. Front. Nutr. 2018, 5, 3.","{""author"": ""A. Rachkeeree; K. Kantadoung; R. Suksathan; R. Puangpradab; P.A. Page; S.R. Sommano"", ""journalName"": ""Front. Nutr."", ""year"": 2018}"
796,"Ray, A.; Jena, S.; Dash, B.; Kar, B.; Halder, T.; Chatterjee, T.; Ghosh, B.; Panda, P.C.; Nayak, S.; Mahapatra, N. Chemical diversity, antioxidant and antimicrobial activities of the essential oils from Indian populations of Hedychium coronarium Koen. Ind. Crops Prod. 2018, 112, 353–362.","{""author"": ""A. Ray; S. Jena; B. Dash; B. Kar; T. Halder; T. Chatterjee; B. Ghosh; P.C. Panda; S. Nayak; N. Mahapatra"", ""journalName"": ""Ind. Crops Prod."", ""year"": 2018}"
797,"Ke, Y.; Abbas, F.; Zhou, Y.; Yu, R.; Fan, Y. Auxin-responsive R2R3-MYB transcription factors HcMYB1 and HcMYB2 activate volatile biosynthesis in Hedychium coronarium flowers. Front. Plant Sci. 2021, 12, 710826.","{""author"": ""Y. Ke; F. Abbas; Y. Zhou; R. Yu; Y. Fan"", ""journalName"": ""Front. Plant Sci."", ""year"": 2021}"
798,"Ray, A.; Jena, S.; Kar, B.; Sahoo, A.; Panda, P.C.; Nayak, S.; Mahapatra, N. Volatile metabolite profiling of ten Hedychium species by gas chromatography mass spectrometry coupled to chemometrics. Ind. Crops Prod. 2018, 126, 135–142","{""author"": ""A. Ray; S. Jena; B. Kar; A. Sahoo; P.C. Panda; S. Nayak; N. Mahapatra"", ""journalName"": ""Ind. Crops Prod."", ""year"": 2018}"
799,"Tavares, W.R.; Barreto, M.D.C.; Seca, A.M. Uncharted source of medicinal products: The case of the Hedychium genus. J. Med. 2020, 7, 23","{""author"": ""W.R. Tavares; M.D.C. Barreto; A.M. Seca"", ""journalName"": ""J. Med."", ""year"": 2020}"
800,"Tian, M.; Wu, X.; Lu, T.; Zhao, X.; Wei, F.; Deng, G.; Zhou, Y. Phytochemical analysis, antioxidant, antibacterial, cytotoxic, and enzyme inhibitory activities of Hedychium flavum rhizome. Front. Pharmacol. 2020, 11, 572659.","{""author"": ""M. Tian; X. Wu; T. Lu; X. Zhao; F. Wei; G. Deng; Y. Zhou"", ""journalName"": ""Front. Pharmacol."", ""year"": 2020}"
801,"Kamble, K.G.; Dale, A.V. A review on pharmacognostic and pharmacological approach of different species of Hedychium. Indo Am. J. Pharm. Sci. 2018, 5, 6030–6036.","{""author"": ""K.G. Kamble; A.V. Dale"", ""journalName"": ""Indo Am. J. Pharm. Sci."", ""year"": 2018}"
802,"Lima, A.S.; Junior, H.N.P.C.; Costa-Junior, L.M.; Monteiro, O.S.; Maia, J.G.S.; da Rocha, C.Q. Anthelmintic effect of essential rhizome oil from Hedychium coronarium Koenig (Zingiberaceae) introduced in Northeastern Brazil. Acta Trop. 2021, 218, 105912.","{""author"": ""A.S. Lima; H.N.P.C. Junior; L.M. Costa-Junior; O.S. Monteiro; J.G.S. Maia; C.Q. da Rocha"", ""journalName"": ""Acta Trop."", ""year"": 2021}"
803,"daSilva, C.F.; Petró, R.R.; Almeida, R.N.; Cassel, E.; Vargas, R.M. On the production and release of Hedychium coronarium essential oil from nanoformulations. Ind. Crops Prod. 2021, 171, 113984.","{""author"": ""C.F. daSilva; R.R. Petr\u00f3; R.N. Almeida; E. Cassel; R.M. Vargas"", ""journalName"": ""Ind. Crops Prod."", ""year"": 2021}"
804,"Das, R.; Nayak, R.K. Ethnomedicinal uses, phytochemical analysis and antibacterial activity of Hedychium coronarium J. Koenig rhizome. Int. J. Herb. Med. 2022, 11, 1–5.","{""author"": ""R. Das; R.K. Nayak"", ""journalName"": ""Int. J. Herb. Med."", ""year"": 2022}"
805,"Peng, W.; Li, P.; Ling, R.; Wang, Z.; Feng, X.; Liu, J.; Yan, J. Diversity of volatile compounds in ten varieties of Zingiberaceae. Molecules. 2022, 27, 565.","{""author"": ""W. Peng; P. Li; R. Ling; Z. Wang; X. Feng; J. Liu; J. Yan"", ""journalName"": ""Molecules"", ""year"": 2022}"
806,"Alborzi, S.S.; Roosta, A. The effect of different solvents on the production of rose concrete and rose absolute, experimental study and thermodynamic aspects using the UNIFAC model. Chem. Eng. Res. Des. 2022, 184, 326–337.","{""author"": ""S.S. Alborzi; A. Roosta"", ""journalName"": ""Chem. Eng. Res. Des."", ""year"": 2022}"
807,"Sarangthem, N.; Talukdar, N.C.; Thongam, B. Collection and evaluation of Hedychium species of Manipur, Northeast India. Genet. Resour. Crop Evol. 2013, 60, 13–21.","{""author"": ""N. Sarangthem; N.C. Talukdar; B. Thongam"", ""journalName"": ""Genet. Resour. Crop Evol."", ""year"": 2013}"
808,"Arya, S.; Kumar, R.; Prakash, O.; Rawat, A.; Mahawer, S.K.; Rawat, D.S.; de Oliveira, M. Hedychium coronarium J. Koenig: Traditional uses, phytochemistry, biological activities and future aspects. Curr. Org. Chem. 2022, 26, 1676–1690.","{""author"": ""S. Arya; R. Kumar; O. Prakash; A. Rawat; S.K. Mahawer; D.S. Rawat; M. de Oliveira"", ""journalName"": ""Curr. Org. Chem."", ""year"": 2022}"
809,"Shanmugam,P.V.; Yadav, A.; Chanotiya, C.S. Enantiomer differentiation of key volatile constituents from leaves, stems, rhizome and flowers of cultivated Hedychium coronarium Koenig from India. J. Essent. Oil Res. 2015, 27, 101–106.","{""author"": ""P.V. Shanmugam; A. Yadav; C.S. Chanotiya"", ""journalName"": ""J. Essent. Oil Res."", ""year"": 2015}"
810,"Baydar, H.; Kineci, S. Scent composition of essential oil, concrete, absolute and hydrosol from lavandin (Lavandula x intermedia Emeric ex Loisel. J. Essent. Oil-Bear. Plants 2009, 12, 131–136.","{""author"": ""H. Baydar; S. Kineci"", ""journalName"": ""J. Essent. Oil-Bear. Plants"", ""year"": 2009}"
811,"Parida, R.; Mohanty, S.; Nayak, S. Chemical composition of essential oil from leaf and rhizome of micropropagated and conventionally grown Hedychium coronarium Koen. from Eastern India. J. Essent. Oil-Bear. Plants 2015, 18, 161–167.","{""author"": ""R. Parida; S. Mohanty; S. Nayak"", ""journalName"": ""J. Essent. Oil-Bear. Plants"", ""year"": 2015}"
812,"dosSantos, B.C.; Barata, L.E.; Marques, F.A.; Baroni, A.C.; Karnos, B.A.; de Oliveira, P.R.; Guerrero, P.G., Jr. Composition of leaf and rhizome essential oils of Hedychium coronarium Koen. from Brazil. J. Essent. Oil Res. 2010, 22, 305–306.","{""author"": ""B.C. dosSantos; L.E. Barata; F.A. Marques; A.C. Baroni; B.A. Karnos; P.R. de Oliveira; P.G. Guerrero, Jr."", ""journalName"": ""J. Essent. Oil Res."", ""year"": 2010}"
813,"Fu, C.; Li, Z.; Jia, C.; Zhang, W.; Zhang, Y.; Yi, C.; Xie, S. Recent advances on bio-based isobutanol separation. Energy Convers. Manag. X 2021, 10, 100059.","{""author"": ""C. Fu; Z. Li; C. Jia; W. Zhang; Y. Zhang; C. Yi; S. Xie"", ""journalName"": ""Energy Convers. Manag. X"", ""year"": 2021}"
814,"Tan, F.; Li, Y.; Xie, Z.; Bian, X.; Du, F.; Liu, S.; Lu, P.; Wang, J. Geochemical Characteristics of the Jurassic Alkane Gas in the Muli Depression, South Qilian Basin: Implications for Potential of Light Oil and Condensate. Front. Environ. Sci. 2022, 10, 898629.","{""author"": ""F. Tan; Y. Li; Z. Xie; X. Bian; F. Du; S. Liu; P. Lu; J. Wang"", ""journalName"": ""Front. Environ. Sci."", ""year"": 2022}"
815,"Abramoviˇ c, H.; Grobin, B.; Poklar Ulrih, N.; Cigi´ c, B. Relevance and standardization of in vitro antioxidant assays: ABTS, DPPH, and Folin–Ciocalteu. J. Chem. 2018, 2018, 4608405.","{""author"": ""H. Abramovi\u02c7 c; B. Grobin; N. Poklar Ulrih; B. Cigi\u00b4 c"", ""journalName"": ""J. Chem."", ""year"": 2018}"
816,"Benzie, I.F.; Strain, J.J. The ferric reducing ability of plasma (FRAP) as a measure of “antioxidant power”: The FRAP assay. Anal. Biochem. 1996, 239, 70–76.","{""author"": ""I.F. Benzie; J.J. Strain"", ""journalName"": ""Anal. Biochem."", ""year"": 1996}"
817,"Tunnisa, F.; Faridah, D.N.; Afriyanti, A.; Rosalina, D.; Syabana, M.A.; Darmawan, N.; Yuliana, N.D. Antioxidant and antidiabetic compounds identification in several Indonesian underutilized Zingiberaceae spices using SPME-GC/MS-based volatilomics and in silico methods. Food Chem. X 2022, 14, 100285.","{""author"": ""F. Tunnisa; D.N. Faridah; A. Afriyanti; D. Rosalina; M.A. Syabana; N. Darmawan; N.D. Yuliana"", ""journalName"": ""Food Chem. X"", ""year"": 2022}"
